Title,Price,Rating,Availability,Image_URL
Reskilling America: Learning to Labor in the Twenty-First Century,Â19.83,Two,In stock,https://books.toscrape.com/../media/cache/97/f8/97f8debeeaaece9603267653076e760f.jpg
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Â50.40,Three,In stock,https://books.toscrape.com/../media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Â13.61,Five,In stock,https://books.toscrape.com/../media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg
Princess Between Worlds (Wide-Awake Princess #5),Â13.34,Five,In stock,https://books.toscrape.com/../media/cache/b7/e8/b7e84b78be3d9bb79b71156a5e5d4e42.jpg
"Pop Gun War, Volume 1: Gift",Â18.97,One,In stock,https://books.toscrape.com/../media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Â36.28,Two,In stock,https://books.toscrape.com/../media/cache/64/44/6444dacdcb9edaadbbd691524622aeb8.jpg
Patience,Â10.16,Three,In stock,https://books.toscrape.com/../media/cache/01/72/01726c619a05114dca75bd840095016d.jpg
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Â15.44,Four,In stock,https://books.toscrape.com/../media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg
orange: The Complete Collection 1 (orange: The Complete Collection #1),Â48.41,One,In stock,https://books.toscrape.com/../media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg
Online Marketing for Busy Authors: A Step-By-Step Guide,Â46.35,One,In stock,https://books.toscrape.com/../media/cache/ea/9b/ea9b2cb8abbb317402e618445bade1e1.jpg
On a Midnight Clear,Â14.07,Three,In stock,https://books.toscrape.com/../media/cache/a1/14/a114d70e7babf110ba42a389078e9a45.jpg
Obsidian (Lux #1),Â14.86,Two,In stock,https://books.toscrape.com/../media/cache/fc/72/fc72f158554b4b4164701e1dfa1153c7.jpg
My Paris Kitchen: Recipes and Stories,Â33.37,Two,In stock,https://books.toscrape.com/../media/cache/f5/65/f565af3d9dd20a1ad72a1e7c4157387d.jpg
Masks and Shadows,Â56.40,Two,In stock,https://books.toscrape.com/../media/cache/ff/e8/ffe81bf98f8386ef29e193abfb6f9c1e.jpg
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Â14.02,Four,In stock,https://books.toscrape.com/../media/cache/10/c6/10c61093002db1fec4089d8076678624.jpg
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Â46.91,Two,In stock,https://books.toscrape.com/../media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Â45.61,Three,In stock,https://books.toscrape.com/../media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Â19.92,Two,In stock,https://books.toscrape.com/../media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg
"Layered: Baking, Building, and Styling Spectacular Cakes",Â40.11,One,In stock,https://books.toscrape.com/../media/cache/98/d1/98d1c979c4bac9e147a6718946578b0f.jpg
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Â53.90,Two,In stock,https://books.toscrape.com/../media/cache/5f/52/5f52b1bc6d45daab2e330c744feb0359.jpg
Join,Â35.67,Five,In stock,https://books.toscrape.com/../media/cache/93/63/9363f0065fbad5689f44fcf6e203eef3.jpg
In the Country We Love: My Family Divided,Â22.00,Four,In stock,https://books.toscrape.com/../media/cache/fe/ea/feeafd2ad7b3077f8e74cbb1da9e3c7d.jpg
